price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4583115,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
8897689,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
6314766,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
5192178,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
4628104,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
8086636,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
6831157,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
4655986,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
4790947,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
5035123,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
3903054,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
6291319,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
4939251,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
3630917,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
9137741,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
4184260,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
5537398,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
3823133,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
6333939,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
3496814,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
6299762,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
4288461,8250,3,1,1,yes,no,no,no,no,2,no,furnished
4438623,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
6672920,7320,4,2,2,yes,no,no,no,no,0,no,furnished
3301911,2700,2,1,1,no,no,no,no,no,0,no,furnished
7105272,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
6168285,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
5205642,4000,3,1,2,yes,no,no,no,no,1,no,furnished
3351813,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
6933218,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
3498421,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
4686220,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
3880097,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
6555847,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
5867137,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5560825,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
5223582,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4243056,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
4324539,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
3866576,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
3848823,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3486754,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4522235,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
6717717,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
4302961,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
5428521,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
2821101,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
5486933,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
6600904,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
3342483,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
4495359,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
2398657,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
3217083,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
3195641,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished
3871695,4900,3,1,2,no,no,no,no,no,0,no,unfurnished
4440506,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
4699860,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
3780162,3640,2,1,1,yes,no,no,no,no,0,no,furnished
4027983,4500,2,1,1,no,no,no,no,no,0,no,furnished
3641371,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
6780605,4300,6,2,2,yes,no,no,no,no,0,no,furnished
5835230,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
4240559,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
4024277,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
4139243,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
4572774,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
6328647,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
3518418,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
5187178,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
2926379,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
4175655,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
6020345,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
4483341,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
6517910,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
5479027,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
4981243,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
5192380,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
6636723,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
6580657,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
3859865,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
5420928,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
3565519,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
4065884,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
4288494,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
6583971,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
2317052,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
4707800,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
3100935,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
3391139,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
6870101,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
3860711,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished
4111112,3600,2,1,1,yes,no,no,no,no,0,no,furnished
6609950,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
2605613,3180,2,1,1,yes,no,no,no,no,0,no,unfurnished
8332203,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
5933772,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
7828842,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
4860328,4360,4,1,2,yes,no,no,no,no,0,no,furnished
7210260,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
5080071,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
5632523,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
3738444,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished
6151096,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
10446538,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9153493,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
9554261,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
5795967,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
6277581,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
3475550,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
3923890,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
5428532,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
7081147,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
8510103,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
5133565,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
3761756,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished
4287122,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3721794,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
5951157,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
3617140,3120,3,1,2,no,no,no,no,no,0,no,furnished
8639254,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
3070140,4000,3,1,2,yes,no,no,no,no,1,no,unfurnished
3636993,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
5425546,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
3942050,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
4907976,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
4265273,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
4015764,5900,2,1,1,yes,no,no,no,no,1,no,furnished
5007095,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
3411279,4600,2,1,1,yes,no,no,no,no,0,no,furnished
12642988,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
5006446,4000,3,1,2,yes,no,no,no,no,2,no,furnished
2864097,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
6964133,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
5215276,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
2860053,4400,2,1,1,yes,no,no,no,no,0,no,unfurnished
5483291,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
3256266,3660,4,1,2,no,no,no,no,no,0,no,unfurnished
5846891,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
7011518,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
4646757,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
5491105,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
7834364,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
3813693,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
8364428,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
9209471,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
5041298,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4528101,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
5496125,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
2959008,2910,2,1,1,no,no,no,no,no,0,no,unfurnished
9340107,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
3176233,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
5271985,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
5075845,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
4164256,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
4776396,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
3820959,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
6139748,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
3868074,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3349178,3150,3,1,2,no,no,no,no,no,0,no,unfurnished
6415888,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
8102913,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
6422586,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
6726089,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
2553312,3970,1,1,1,no,no,no,no,no,0,no,unfurnished
11105309,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
4571969,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
4310009,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
7776355,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
4645867,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
10352109,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
6159890,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
8724134,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
4068616,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
5793392,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
2390103,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
5482114,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
3893784,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
4766454,6360,2,1,1,yes,no,no,no,no,0,no,furnished
3116354,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished
3130102,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
4469951,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
5184746,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
5605691,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
5468313,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
4693083,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
2778283,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished
5158498,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
2251743,3420,5,1,2,no,no,no,no,no,0,no,unfurnished
3527762,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
